Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber
Albia,IA,-1,-1,-1,-1,-1,45082,-1.0,90.3,146,3541,-1
Albion,MI,-1,-1,-1,-1,-1,34959,-1.0,91.4,636,9021,-1
Albion,NY,-1,-1,-1,-1,-1,40354,-1.0,143.7,-1,-1,-1
Albion,PA,-1,-1,-1,-1,-1,41250,-1.0,100.5,-1,-1,-1
Albuquerque,NM,-1,-1,-1,-1,-1,54514,92.9,90.6,61447,545389,-1
Alderson,WV,-1,-1,-1,-1,-1,24868,-1.0,90.1,-1,-1,-1
Aledo,IL,-1,-1,-1,-1,-1,50992,-1.0,90.5,204,3466,-1
Aledo,TX,-1,-1,-1,-1,-1,119267,-1.0,92.6,-1,-1,-1
Alexander City,AL,-1,-1,-1,-1,-1,30920,-1.0,88.6,1410,15229,-1
Alexandria,LA,-1,-1,-1,-1,-1,43263,86.2,92.8,8758,49283,-1
Alexandria,MN,-1,-1,-1,-1,-1,58734,-1.0,99.6,741,12003,-1
Alfred,NY,-1,-1,-1,-1,-1,28333,-1.0,143.7,-1,-1,-1
Algoma,WI,-1,-1,-1,-1,-1,51657,-1.0,95.5,206,3130,-1
Algona,IA,-1,-1,-1,-1,-1,51119,-1.0,90.3,94,5229,-1
Alice,TX,-1,-1,-1,-1,-1,36503,-1.0,92.6,2818,19690,-1
Allegan,MI,-1,-1,-1,-1,-1,46067,-1.0,91.4,229,4770,-1
Allendale,SC,-1,-1,-1,-1,-1,19030,-1.0,94.8,498,3510,-1
Allentown,PA,-1,-1,-1,-1,-1,65272,98.9,100.5,11671,108473,-1
Allentown,NJ,-1,-1,-1,-1,-1,65272,-1.0,118.3,36,1847,-1
Alliance,NE,-1,-1,-1,-1,-1,48805,-1.0,93.6,340,8005,-1
Alliance,OH,-1,-1,-1,-1,-1,40203,-1.0,92.9,1996,22467,-1
Alma,GA,-1,-1,-1,-1,-1,26452,-1.0,89.8,313,3435,-1
Alma,MI,-1,-1,-1,-1,-1,38773,-1.0,91.4,76,9107,-1
St. Louis,MI,-1,-1,-1,-1,-1,38773,-1.0,91.4,136,6895,-1
Almont,MI,-1,-1,-1,-1,-1,53629,-1.0,91.4,138,2691,-1
Alpena,MI,-1,-1,-1,-1,-1,40086,-1.0,91.4,783,10184,-1
Alpine,TX,-1,-1,-1,-1,-1,46500,-1.0,92.6,123,6490,-1
Altavista,VA,-1,-1,-1,-1,-1,37271,-1.0,98.1,330,3340,-1
Alton,IL,-1,-1,-1,-1,-1,52123,-1.0,90.5,2890,28841,-1
Alton,MO,-1,-1,-1,-1,-1,52123,-1.0,91.2,8,630,-1
Altoona,PA,-1,-1,-1,-1,-1,46207,90.8,100.5,2238,46213,-1
Alturas,CA,-1,-1,-1,-1,-1,36298,-1.0,146.9,137,2733,-1
Altus,OK,-1,-1,-1,-1,-1,47214,-1.0,88.2,1544,18983,-1
Alva,OK,-1,-1,-1,-1,-1,48468,-1.0,88.2,243,4822,-1
Alvarado,TX,-1,-1,-1,-1,-1,51801,-1.0,92.6,250,4379,-1
Amarillo,TX,-1,-1,-1,-1,-1,52448,88.2,92.6,24551,190393,-1
American Falls,ID,-1,-1,-1,-1,-1,48438,-1.0,97.1,137,4075,-1
Americus,GA,-1,-1,-1,-1,-1,33335,-1.0,89.8,2894,15694,-1
Amery,WI,-1,-1,-1,-1,-1,55833,-1.0,95.5,188,2744,-1
Ames,IA,-1,-1,-1,-1,-1,48298,91.5,90.3,3469,57817,-1
Amite City,LA,-1,-1,-1,-1,-1,42526,-1.0,92.8,-1,-1,-1
Amory,MS,-1,-1,-1,-1,-1,33979,-1.0,85.1,574,7123,-1
Amsterdam,NY,-1,-1,-1,-1,-1,42275,-1.0,143.7,1229,17187,-1
Anaconda-Deer Lodge County,MT,-1,-1,-1,-1,-1,38758,-1.0,100.8,-1,-1,-1
Anacortes,WA,-1,-1,-1,-1,-1,71848,-1.0,112.8,1155,17132,-1
Anadarko,OK,-1,-1,-1,-1,-1,41741,-1.0,88.2,514,6422,-1
Anamosa,IA,-1,-1,-1,-1,-1,41630,-1.0,90.3,255,5825,-1
Anchorage,AK,-1,-1,-1,-1,-1,81974,110.7,125.7,25378,290334,-1
Anchorage Northeast,AK,-1,-1,-1,-1,-1,107169,-1.0,125.7,-1,-1,-1
Andalusia,AL,-1,-1,-1,-1,-1,37500,-1.0,88.6,59,8946,-1
Anderson,IN,-1,-1,-1,-1,-1,44747,-1.0,91.1,6563,57156,-1
Anderson,SC,-1,-1,-1,-1,-1,45362,-1.0,94.8,4253,27325,-1
Andrews,SC,-1,-1,-1,-1,-1,34507,-1.0,94.8,389,2965,-1
Andrews,TX,-1,-1,-1,-1,-1,76695,-1.0,92.6,584,10508,-1
Angels,CA,-1,-1,-1,-1,-1,53782,-1.0,146.9,-1,-1,-1
Angola,IN,-1,-1,-1,-1,-1,52984,-1.0,91.1,882,8347,-1
Anna,IL,-1,-1,-1,-1,-1,37181,-1.0,90.5,-1,-1,-1
Anna,TX,-1,-1,-1,-1,-1,89922,-1.0,92.6,255,1999,-1
Annandale,MN,-1,-1,-1,-1,-1,46464,-1.0,99.6,252,3212,-1
Ann Arbor,MI,-1,-1,-1,-1,-1,65491,99.3,91.4,6464,111745,-1
Anniston,AL,-1,-1,-1,-1,-1,43840,85.7,88.6,4178,23703,-1
Oxford,AL,-1,-1,-1,-1,-1,43840,-1.0,88.6,2545,21171,-1
Antigo,WI,-1,-1,-1,-1,-1,40776,-1.0,95.5,1064,7846,-1
Antioch,CA,-1,-1,-1,-1,-1,82388,-1.0,146.9,7956,102125,-1
Apalachicola,FL,-1,-1,-1,-1,-1,41423,-1.0,101.5,24,2192,-1
Appleton,WI,-1,-1,-1,-1,-1,62340,90.7,95.5,3851,70975,-1
Apple Valley,OH,-1,-1,-1,-1,-1,71779,-1.0,92.9,-1,-1,-1
Arab,AL,-1,-1,-1,-1,-1,48155,-1.0,88.6,-1,-1,-1
Arbuckle,CA,-1,-1,-1,-1,-1,64076,-1.0,146.9,-1,-1,-1
Arcade,NY,-1,-1,-1,-1,-1,40448,-1.0,143.7,-1,-1,-1
Arcadia,LA,-1,-1,-1,-1,-1,23814,-1.0,92.8,-1,-1,-1
Arcadia,WI,-1,-1,-1,-1,-1,48320,-1.0,95.5,62,2325,-1
Arcadia,FL,-1,-1,-1,-1,-1,28884,-1.0,101.5,689,6926,-1
Southeast Arcadia,FL,-1,-1,-1,-1,-1,28884,-1.0,101.5,-1,-1,-1
Arcata,CA,-1,-1,-1,-1,-1,43835,-1.0,146.9,1391,17172,-1
McKinleyville,CA,-1,-1,-1,-1,-1,43835,-1.0,146.9,-1,-1,-1
Archbold,OH,-1,-1,-1,-1,-1,61154,-1.0,92.9,136,4430,-1
Archer Lodge,NC,-1,-1,-1,-1,-1,98406,-1.0,96.4,-1,-1,-1
Clayton,NC,-1,-1,-1,-1,-1,98406,-1.0,96.4,854,17472,-1
Arcola,IL,-1,-1,-1,-1,-1,47297,-1.0,90.5,28,2685,-1
Ardmore,OK,-1,-1,-1,-1,-1,44093,-1.0,88.2,3322,25238,-1
Arecibo,PR,-1,-1,-1,-1,-1,17564,-1.0,-1.0,-1,-1,-1
Arizona City,AZ,-1,-1,-1,-1,-1,40059,-1.0,107.0,-1,-1,-1
Arkadelphia,AR,-1,-1,-1,-1,-1,32796,-1.0,92.1,876,11213,-1
Arkansas City,KS,-1,-1,-1,-1,-1,42664,-1.0,86.9,1102,10960,-1
Arlington,TN,-1,-1,-1,-1,-1,99730,-1.0,90.0,-1,-1,-1
Arroyo Grande,CA,-1,-1,-1,-1,-1,76211,-1.0,146.9,686,17358,-1
Grover Beach,CA,-1,-1,-1,-1,-1,76211,-1.0,146.9,703,13199,-1
Artesia,NM,-1,-1,-1,-1,-1,51394,-1.0,90.6,-1,-1,-1
Arvin,CA,-1,-1,-1,-1,-1,38504,-1.0,146.9,1388,15410,-1
Ashburn,GA,-1,-1,-1,-1,-1,35561,-1.0,89.8,-1,-1,-1
Ashdown,AR,-1,-1,-1,-1,-1,29781,-1.0,92.1,-1,-1,-1
Asheboro,NC,-1,-1,-1,-1,-1,40171,-1.0,96.4,3430,25017,-1
Asheville,NC,-1,-1,-1,-1,-1,51549,103.3,96.4,8214,77067,-1
Ashland,MO,-1,-1,-1,-1,-1,70700,-1.0,91.2,70,2230,-1
Ashland,NE,-1,-1,-1,-1,-1,56591,-1.0,93.6,23,2728,-1
Ashland,OH,-1,-1,-1,-1,-1,47770,-1.0,92.9,1188,21737,-1
Ashland,PA,-1,-1,-1,-1,-1,45526,-1.0,100.5,127,3088,-1
Ashland,WI,-1,-1,-1,-1,-1,35183,-1.0,95.5,-1,-1,-1
Ashland City,TN,-1,-1,-1,-1,-1,48240,-1.0,90.0,502,4707,-1
Ashtabula,OH,-1,-1,-1,-1,-1,35101,87.4,92.9,-1,-1,-1
Ashville,OH,-1,-1,-1,-1,-1,70990,-1.0,92.9,166,3294,-1
Aspen,CO,-1,-1,-1,-1,-1,84388,-1.0,105.8,747,6012,-1
Astoria,OR,-1,-1,-1,-1,-1,51616,-1.0,127.5,1293,9639,-1
Atchison,KS,-1,-1,-1,-1,-1,46396,-1.0,86.9,713,10483,-1
Atchison,MO,-1,-1,-1,-1,-1,46396,-1.0,91.2,-1,-1,-1
Athens,AL,-1,-1,-1,-1,-1,48928,-1.0,88.6,1502,24989,-1
Athens,OH,-1,-1,-1,-1,-1,33144,88.5,92.9,993,22161,-1
Athens,TN,-1,-1,-1,-1,-1,33350,-1.0,90.0,2475,14352,-1
Athens,TX,-1,-1,-1,-1,-1,37614,92.9,92.6,1197,12173,-1
Athens,GA,-1,-1,-1,-1,-1,42046,95.0,89.8,10619,112851,-1
Athol,MA,-1,-1,-1,-1,-1,47583,-1.0,132.5,633,11773,-1
Atlanta,GA,-1,-1,-1,-1,-1,69230,100.3,89.8,73193,536472,-1
Atlanta,TX,-1,-1,-1,-1,-1,40536,-1.0,92.6,564,5380,-1
Atlantic,IA,-1,-1,-1,-1,-1,40229,-1.0,90.3,323,6742,-1
Atlantic City,NJ,-1,-1,-1,-1,-1,61230,102.0,118.3,7517,39787,-1
Atmore,AL,-1,-1,-1,-1,-1,26778,-1.0,88.6,768,10182,-1
Atoka,TN,-1,-1,-1,-1,-1,74974,-1.0,90.0,328,7978,-1
Attica,IN,-1,-1,-1,-1,-1,50650,-1.0,91.1,145,3239,-1
Attica,NY,-1,-1,-1,-1,-1,60580,-1.0,143.7,-1,-1,-1
Aubrey,TX,-1,-1,-1,-1,-1,79464,-1.0,92.6,-1,-1,-1
Auburn,AL,-1,-1,-1,-1,-1,40694,91.9,88.6,3802,59651,-1
Auburn,IL,-1,-1,-1,-1,-1,55781,-1.0,90.5,-1,-1,-1
Auburn,IN,-1,-1,-1,-1,-1,47736,-1.0,91.1,750,13229,-1
Auburn,NE,-1,-1,-1,-1,-1,52198,-1.0,93.6,86,3237,-1
Auburn,NY,-1,-1,-1,-1,-1,47680,93.7,143.7,2148,26448,-1
Auburn,CA,-1,-1,-1,-1,-1,65529,-1.0,146.9,705,13432,-1
North Auburn,CA,-1,-1,-1,-1,-1,65529,-1.0,146.9,-1,-1,-1
Augusta,KS,-1,-1,-1,-1,-1,48430,-1.0,86.9,611,8830,-1
Augusta,ME,-1,-1,-1,-1,-1,39961,100.0,110.9,2542,18514,-1
Augusta,GA,-1,-1,-1,-1,-1,53765,91.6,89.8,-1,-1,-1
Augusta,SC,-1,-1,-1,-1,-1,53765,-1.0,94.8,-1,-1,-1
Aumsville,OR,-1,-1,-1,-1,-1,57266,-1.0,127.5,99,3727,-1
Aurora,MO,-1,-1,-1,-1,-1,38579,-1.0,91.2,885,7430,-1
Aurora,NE,-1,-1,-1,-1,-1,61045,-1.0,93.6,68,4240,-1
Au Sable,MI,-1,-1,-1,-1,-1,42425,-1.0,91.4,-1,-1,-1
Austin,MN,-1,-1,-1,-1,-1,47805,-1.0,99.6,1589,22929,-1
Austin,TX,-1,-1,-1,-1,-1,77522,106.6,92.6,99354,796310,-1
Ava,MO,-1,-1,-1,-1,-1,35197,-1.0,91.2,222,3180,-1
Avalon,CA,-1,-1,-1,-1,-1,74630,-1.0,146.9,198,3087,-1
Avenal,CA,-1,-1,-1,-1,-1,41114,-1.0,146.9,410,16523,-1
Avon,NY,-1,-1,-1,-1,-1,56836,-1.0,143.7,-1,-1,-1
Avondale,AZ,-1,-1,-1,-1,-1,73978,-1.0,107.0,7862,82580,-1
Goodyear,AZ,-1,-1,-1,-1,-1,73978,-1.0,107.0,4261,61721,-1
Avra Valley,AZ,-1,-1,-1,-1,-1,53388,-1.0,107.0,-1,-1,-1
Aztec,NM,-1,-1,-1,-1,-1,50541,-1.0,90.6,441,7135,-1
Bad Axe,MI,-1,-1,-1,-1,-1,39728,-1.0,91.4,207,2942,-1
Bainbridge,GA,-1,-1,-1,-1,-1,37097,-1.0,89.8,1506,11641,-1
Baker City,OR,-1,-1,-1,-1,-1,44245,-1.0,127.5,421,9309,-1
Bakersfield,CA,-1,-1,-1,-1,-1,55601,102.9,146.9,34705,333458,-1
Bald Knob,AR,-1,-1,-1,-1,-1,29744,-1.0,92.1,281,3456,-1
Baldwin,WI,-1,-1,-1,-1,-1,65761,-1.0,95.5,-1,-1,-1
Baldwin City,KS,-1,-1,-1,-1,-1,74007,-1.0,86.9,210,4533,-1
Ballinger,TX,-1,-1,-1,-1,-1,43006,-1.0,92.6,226,3607,-1
Baltimore,MD,-1,-1,-1,-1,-1,77238,107.0,121.4,75513,639929,-1
Baltimore,OH,-1,-1,-1,-1,-1,41964,-1.0,92.9,-1,-1,-1
Bamberg,SC,-1,-1,-1,-1,-1,28458,-1.0,94.8,288,3303,-1
Bandon,OR,-1,-1,-1,-1,-1,32297,-1.0,127.5,186,3222,-1
Bangor,ME,-1,-1,-1,-1,-1,45438,98.0,110.9,3573,31587,-1
Baraboo,WI,-1,-1,-1,-1,-1,51582,-1.0,95.5,1134,11205,-1
Barbourville,KY,-1,-1,-1,-1,-1,28663,-1.0,93.9,100,3625,-1
Bardstown,KY,-1,-1,-1,-1,-1,56692,-1.0,93.9,690,11339,-1
Bar Harbor,ME,-1,-1,-1,-1,-1,56681,-1.0,110.9,114,5243,-1
Barnesville,GA,-1,-1,-1,-1,-1,29116,-1.0,89.8,476,6159,-1
Barnesville,OH,-1,-1,-1,-1,-1,44116,-1.0,92.9,35,3987,-1
Barnstable Town,MA,-1,-1,-1,-1,-1,75258,122.4,132.5,-1,-1,-1
Barnwell,SC,-1,-1,-1,-1,-1,30523,-1.0,94.8,757,4714,-1
Barre,VT,-1,-1,-1,-1,-1,53316,-1.0,114.8,717,8781,-1
Montpelier,VT,-1,-1,-1,-1,-1,53316,-1.0,114.8,708,7708,-1
Barron,WI,-1,-1,-1,-1,-1,40625,-1.0,95.5,-1,-1,-1
Barrow,AK,-1,-1,-1,-1,-1,89769,-1.0,125.7,-1,-1,-1
Barstow,CA,-1,-1,-1,-1,-1,42785,-1.0,146.9,1947,24704,-1
Bartlesville,OK,-1,-1,-1,-1,-1,52407,-1.0,88.2,2757,36586,-1
Bartlett,TX,-1,-1,-1,-1,-1,40250,-1.0,92.6,-1,-1,-1
Basalt,CO,-1,-1,-1,-1,-1,85530,-1.0,105.8,132,3347,-1
El Jebel,CO,-1,-1,-1,-1,-1,85530,-1.0,105.8,-1,-1,-1
Basehor,KS,-1,-1,-1,-1,-1,75942,-1.0,86.9,149,4713,-1
Bastrop,LA,-1,-1,-1,-1,-1,21761,-1.0,92.8,2939,11542,-1
Bastrop,TX,-1,-1,-1,-1,-1,62894,-1.0,92.6,1180,8790,-1
Batavia,NY,-1,-1,-1,-1,-1,48561,-1.0,143.7,1123,14871,-1
Batesburg-Leesville,SC,-1,-1,-1,-1,-1,45817,-1.0,94.8,602,5670,-1
Batesville,AR,-1,-1,-1,-1,-1,42791,-1.0,92.1,-1,-1,-1
Batesville,IN,-1,-1,-1,-1,-1,56430,-1.0,91.1,270,6474,-1
Batesville,MS,-1,-1,-1,-1,-1,42476,-1.0,85.1,-1,-1,-1
Bath,NY,-1,-1,-1,-1,-1,34035,-1.0,143.7,-1,-1,-1
Baton Rouge,LA,-1,-1,-1,-1,-1,59942,91.1,92.8,-1,-1,-1
Battle Creek,MI,-1,-1,-1,-1,-1,44308,85.9,91.4,7691,60386,-1
Battlement Mesa,CO,-1,-1,-1,-1,-1,62330,-1.0,105.8,-1,-1,-1
Battle Mountain,NV,-1,-1,-1,-1,-1,72786,-1.0,103.3,-1,-1,-1
Baxley,GA,-1,-1,-1,-1,-1,27064,-1.0,89.8,581,4377,-1
Baxter Springs,KS,-1,-1,-1,-1,-1,39375,-1.0,86.9,135,4132,-1
Bayard,NM,-1,-1,-1,-1,-1,34953,-1.0,90.6,78,2423,-1
Bay City,MI,-1,-1,-1,-1,-1,43426,85.4,91.4,2621,33200,-1
Bay City,TX,-1,-1,-1,-1,-1,49974,-1.0,92.6,1739,17523,-1
Bayfield,CO,-1,-1,-1,-1,-1,61641,-1.0,105.8,22,2114,-1
Bay Minette,AL,-1,-1,-1,-1,-1,40000,-1.0,88.6,-1,-1,-1
Bealeton,VA,-1,-1,-1,-1,-1,82652,-1.0,98.1,-1,-1,-1
Beardstown,IL,-1,-1,-1,-1,-1,41809,-1.0,90.5,-1,-1,-1
Beatrice,NE,-1,-1,-1,-1,-1,45902,-1.0,93.6,1042,12706,-1
Beaufort,SC,-1,-1,-1,-1,-1,54736,-1.0,94.8,1880,12076,-1
Port Royal,SC,-1,-1,-1,-1,-1,54736,-1.0,94.8,579,11663,-1
Beaumont,TX,-1,-1,-1,-1,-1,52321,88.6,92.6,13730,109430,-1
Beaver,UT,-1,-1,-1,-1,-1,58165,-1.0,101.5,-1,-1,-1
Beaver Dam,KY,-1,-1,-1,-1,-1,42184,-1.0,93.9,42,3120,-1
Beaver Dam,WI,-1,-1,-1,-1,-1,52744,92.9,95.5,988,15258,-1
Becker,MN,-1,-1,-1,-1,-1,92653,-1.0,99.6,60,4387,-1
Beckley,WV,-1,-1,-1,-1,-1,42620,80.0,90.1,3330,16990,-1
Bedford,IN,-1,-1,-1,-1,-1,42618,-1.0,91.1,878,13438,-1
Bedford,NY,-1,-1,-1,-1,-1,187159,-1.0,143.7,-1,-1,-1
Bedford,PA,-1,-1,-1,-1,-1,50857,-1.0,100.5,69,2967,-1
Bedford,VA,-1,-1,-1,-1,-1,35417,-1.0,98.1,469,6377,-1
Beebe,AR,-1,-1,-1,-1,-1,46976,-1.0,92.1,717,7173,-1
Beecher,IL,-1,-1,-1,-1,-1,81146,-1.0,90.5,87,3159,-1
Beeville,TX,-1,-1,-1,-1,-1,38662,-1.0,92.6,773,12439,-1
Belding,MI,-1,-1,-1,-1,-1,41812,-1.0,91.4,375,5599,-1
Belfair,WA,-1,-1,-1,-1,-1,60033,-1.0,112.8,-1,-1,-1
Belfast,ME,-1,-1,-1,-1,-1,64931,-1.0,110.9,535,6748,-1
Belgrade,MT,-1,-1,-1,-1,-1,67096,-1.0,100.8,489,8518,-1
Bellefontaine,OH,-1,-1,-1,-1,-1,48784,-1.0,92.9,1472,12735,-1
Bellefonte,PA,-1,-1,-1,-1,-1,59389,-1.0,100.5,160,6179,-1
Belle Fourche,SD,-1,-1,-1,-1,-1,45777,-1.0,96.2,58,4972,-1
Belle Glade,FL,-1,-1,-1,-1,-1,24862,-1.0,101.5,3171,16992,-1
Belle Plaine,MN,-1,-1,-1,-1,-1,78919,-1.0,99.6,325,7244,-1
Bellevue,IA,-1,-1,-1,-1,-1,64904,-1.0,90.3,-1,-1,-1
Bellevue,OH,-1,-1,-1,-1,-1,55247,-1.0,92.9,-1,-1,-1
Bellingham,WA,-1,-1,-1,-1,-1,58432,111.6,112.8,7876,81139,-1
Bellows Falls,VT,-1,-1,-1,-1,-1,43750,-1.0,114.8,38,2905,-1
Bellows Falls,NH,-1,-1,-1,-1,-1,43750,-1.0,112.6,-1,-1,-1
Bells,TN,-1,-1,-1,-1,-1,41284,-1.0,90.0,129,2283,-1
Bellville,TX,-1,-1,-1,-1,-1,47102,-1.0,92.6,210,4552,-1
Beloit,KS,-1,-1,-1,-1,-1,47931,-1.0,86.9,112,3659,-1
Beloit,WI,-1,-1,-1,-1,-1,50054,-1.0,95.5,3109,36651,-1
Beloit,IL,-1,-1,-1,-1,-1,50054,-1.0,90.5,-1,-1,-1
Belterra,TX,-1,-1,-1,-1,-1,155917,-1.0,92.6,-1,-1,-1
Belton,SC,-1,-1,-1,-1,-1,31073,-1.0,94.8,326,4709,-1
Belvidere,NJ,-1,-1,-1,-1,-1,53526,-1.0,118.3,50,2638,-1
Belvidere,PA,-1,-1,-1,-1,-1,53526,-1.0,100.5,-1,-1,-1
Belzoni,MS,-1,-1,-1,-1,-1,29464,-1.0,85.1,36,2315,-1
Bemidji,MN,-1,-1,-1,-1,-1,33103,-1.0,99.6,2031,13911,-1
Bend,OR,-1,-1,-1,-1,-1,66155,115.9,127.5,5333,79556,-1
Bennettsville,SC,-1,-1,-1,-1,-1,30404,-1.0,94.8,1155,8941,-1
Bennington,VT,-1,-1,-1,-1,-1,48857,-1.0,114.8,899,15086,-1
Benson,AZ,-1,-1,-1,-1,-1,31037,-1.0,107.0,-1,-1,-1
Benson,MN,-1,-1,-1,-1,-1,40970,-1.0,99.6,124,2930,-1
Benson,NC,-1,-1,-1,-1,-1,34032,-1.0,96.4,580,3632,-1
Benton,IL,-1,-1,-1,-1,-1,38972,-1.0,90.5,752,6836,-1
Benton,KY,-1,-1,-1,-1,-1,48711,-1.0,93.9,185,4346,-1
Benton,LA,-1,-1,-1,-1,-1,68351,-1.0,92.8,-1,-1,-1
Benton City,WA,-1,-1,-1,-1,-1,56441,-1.0,112.8,-1,-1,-1
Benton Harbor,MI,-1,-1,-1,-1,-1,49578,-1.0,91.4,-1,-1,-1
St. Joseph,MI,-1,-1,-1,-1,-1,49578,-1.0,91.4,-1,-1,-1
Fair Plain,MI,-1,-1,-1,-1,-1,49578,-1.0,91.4,-1,-1,-1
Berea,KY,-1,-1,-1,-1,-1,46541,-1.0,93.9,1008,15130,-1
Berlin,NH,-1,-1,-1,-1,-1,41386,-1.0,112.6,337,9155,-1
Berlin,WI,-1,-1,-1,-1,-1,53924,-1.0,95.5,358,4932,-1
Berne,IN,-1,-1,-1,-1,-1,45542,-1.0,91.1,72,4451,-1
Berrien Springs,MI,-1,-1,-1,-1,-1,40614,-1.0,91.4,-1,-1,-1
Berryville,AR,-1,-1,-1,-1,-1,47682,-1.0,92.1,469,5391,-1
Berryville,VA,-1,-1,-1,-1,-1,74353,-1.0,98.1,96,3215,-1
Bethany,MO,-1,-1,-1,-1,-1,31987,-1.0,91.2,118,3020,-1
Bethel,AK,-1,-1,-1,-1,-1,84006,-1.0,125.7,431,6667,-1
Bethel,OH,-1,-1,-1,-1,-1,40588,-1.0,92.9,336,2648,-1
Beulah,ND,-1,-1,-1,-1,-1,100433,-1.0,97.8,92,2976,-1
Bicknell,IN,-1,-1,-1,-1,-1,40780,-1.0,91.1,-1,-1,-1
Big Bear City,CA,-1,-1,-1,-1,-1,50854,-1.0,146.9,-1,-1,-1
Big Lake,TX,-1,-1,-1,-1,-1,74539,-1.0,92.6,-1,-1,-1
Big Pine Key,FL,-1,-1,-1,-1,-1,75220,-1.0,101.5,-1,-1,-1
Big Rapids,MI,-1,-1,-1,-1,-1,33598,-1.0,91.4,700,10170,-1
Big Spring,TX,-1,-1,-1,-1,-1,52691,-1.0,92.6,3159,24357,-1
Big Stone Gap,VA,-1,-1,-1,-1,-1,38023,-1.0,98.1,342,5653,-1
Billings,MT,-1,-1,-1,-1,-1,58923,95.7,100.8,10616,108039,-1
Binghamton,NY,-1,-1,-1,-1,-1,49451,93.3,143.7,4704,43628,-1
Binghamton,PA,-1,-1,-1,-1,-1,49451,-1.0,100.5,-1,-1,-1
Birch Bay,WA,-1,-1,-1,-1,-1,66330,-1.0,112.8,-1,-1,-1
Birmingham,AL,-1,-1,-1,-1,-1,58259,90.7,88.6,-1,-1,-1
