Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber,COLIsEstimated
Spring Hill,TN,13.0,877.1887852167109,291.0,34.63932584269663,291.29023327259017,91326,104.11213816127136,90.0,890,30829,48.0,T
San Clemente,CA,142.0,736.2252376399232,256.0,37.157396449704144,292.7456233660889,109542,148.7887054118829,146.9,1690,62796,98.0,T
Mascoutah,IL,56.0,799.2110390339126,295.0,34.535353535353536,300.2682134359213,79144,99.02766119906124,90.5,198,6838,11.0,T
Milford,PA,44.0,805.5286249684862,299.0,34.06976744186046,302.2201184567301,87440,108.54983583410313,100.5,86,2930,5.0,T
Lake Forest,CA,142.0,736.2252376399232,268.0,35.965828191741814,303.29523570277195,109542,148.7887054118829,146.9,2107,75780,119.0,T
Mount Vernon,IA,136.0,738.447671956863,275.0,35.525,306.79146011582526,70907,96.02169888639325,90.3,120,4263,7.0,T
Pawnee,IL,145.0,735.2659690794089,271.0,35.91428571428571,307.3532169995948,70625,96.05367713186313,90.5,70,2514,4.0,T
Crane,TX,226.0,690.8769502420721,226.0,39.03529411764706,319.6122650963195,66375,96.07354822988852,92.6,85,3318,5.0,T
Hightstown,NJ,23.0,853.8837543557831,321.0,32.74390243902439,321.822932681933,116509,136.44597336074253,118.3,164,5370,8.0,T
Needville,TX,271.0,674.1228678712104,187.0,42.81927710843374,329.2567387313432,64417,95.55676430829331,92.6,83,3554,6.0,T
Beulah,ND,10.0,883.4124566478379,332.0,32.34782608695652,332.150568266863,100433,113.68755244984784,97.8,92,2976,5.0,T
Edgerton,WI,262.0,677.2024492849224,205.0,40.78787878787879,332.6695056659086,66209,97.76840008466004,95.5,132,5384,8.0,T
Woodland Park,CO,299.0,663.7680476061884,150.0,48.80597014925373,334.51606837340415,69653,104.93575316135875,105.8,134,6540,10.0,T
Waterloo,WI,182.0,713.6961559140492,282.0,35.06521739130435,335.6307494852044,70714,99.08137995984404,95.5,92,3226,5.0,T
Truckee,CA,194.0,704.0662650602409,281.0,35.16204690831557,341.4630287454265,93500,132.8,146.9,469,16491,26.0,F
Kearney,MO,46.0,805.1111793875051,339.0,32.1156462585034,342.1067084989711,80494,99.97873841627248,91.2,294,9442,15.0,T
Lake Mills,WI,166.0,722.0740958061195,300.0,33.872727272727275,342.8644046850008,71790,99.42192971187262,95.5,165,5589,9.0,T
Berryville,VA,151.0,730.1323202187302,308.0,33.489583333333336,343.02332282222443,74353,101.83496599318548,98.1,96,3215,5.0,T
Basehor,KS,61.0,793.7626398746969,353.0,31.630872483221477,358.23176855214837,75942,95.67343710203869,86.9,149,4713,7.0,T
St. Marys,KS,345.0,641.8888388839525,115.0,56.73170731707317,363.6619309193636,60656,94.49611260644778,86.9,41,2326,4.0,T
Fairview,TN,135.0,738.6149184250553,338.0,32.13899613899614,363.9629101982783,70755,95.79416585691298,90.0,259,8324,13.0,T
Trenton,IL,343.0,642.0628637129379,126.0,54.166666666666664,365.41072781186926,61607,95.95166374167388,90.5,48,2600,4.0,T
Pilot Point,TX,363.0,636.5097983237943,46.0,91.0,365.90299260869676,61430,96.510690270239,92.6,50,4550,7.0,T
Hallsville,TX,354.0,638.2516278881792,106.0,59.2962962962963,369.52943049234926,61656,96.60139873674093,92.6,54,3202,5.0,T
Kennebunk,ME,302.0,662.2943401941961,216.0,39.78350515463917,371.29503093900945,72014,108.73413168363217,110.9,291,11577,18.0,T
Solvang,CA,310.5,659.5436039921469,204.0,40.8968253968254,371.51884205245904,91114,138.14704509072138,146.9,126,5153,8.0,T
Ashland,MO,149.0,732.6651313387897,346.0,31.857142857142858,376.7187279655738,70700,96.49701749940084,91.2,70,2230,3.0,T
Lake View,AL,26.0,849.3444763048535,377.0,30.58139534883721,377.89548819746443,85316,100.44923158996056,88.6,86,2630,4.0,T
Pella,IA,197.0,702.7961335479276,324.0,32.59305993690852,379.18992602652304,66592,94.75294017885874,90.3,317,10332,16.0,T
La Grange,TX,298.0,663.7695431077668,243.0,37.70634920634921,384.51657961653615,63231,95.26047203665397,92.6,126,4751,7.0,T
Aurora,NE,379.0,631.5565422708521,95.0,62.35294117647059,390.72496720839325,61045,96.6580122509759,93.6,68,4240,7.0,T
Lago Vista,TX,74.0,781.1684184397567,386.0,30.168181818181818,393.02926099719343,78000,99.85042682062206,92.6,220,6637,10.0,T
Johnstown,CO,78.0,778.4699055228787,396.0,29.5316091954023,403.6087214122113,86722,111.40058130025079,105.8,348,10277,16.0,T
Medina,TN,152.0,729.9174748474302,380.0,30.432098765432098,409.2725253422223,69681,95.46421671102607,90.0,81,2465,4.0,T
Priceville,AL,6.0,931.5025257871807,412.0,28.9811320754717,412.0436870041816,101143,108.58048926333026,88.6,106,3072,5.0,T
Carlton,OR,360.0,637.1804535527563,202.0,40.95238095238095,412.8001937984041,76645,120.28774513192764,127.5,42,1720,3.0,T
Blanchard,OK,98.0,762.777371593909,403.0,29.29875518672199,414.7444996621414,72729,95.3476108605904,88.2,241,7061,11.0,T
Brunswick,MD,168.0,721.8056123614292,382.0,30.329545454545453,417.31043600657773,87385,121.06445073780304,121.4,176,5338,8.0,T
Moscow,PA,125.0,747.4807277696486,399.0,29.40909090909091,418.1219917679528,78250,104.68497326143013,100.5,66,1941,3.0,T
Pinehurst,NC,389.5,629.7300635884943,158.0,46.87132352941177,420.32636129560086,61515,97.6847121597768,96.4,272,12749,20.0,T
Kimberling City,MO,267.0,675.8826331382032,327.0,32.54054054054054,422.15873791738574,63935,94.59482588440275,91.2,74,2408,4.0,T
Tipton,IA,257.0,680.309683492649,335.0,32.212765957446805,422.225058470006,63997,94.07039404678929,90.3,94,3028,5.0,T
West Point,VA,215.0,695.2978130850101,368.0,30.75,426.20300327426133,69775,100.35268152277217,98.1,104,3198,5.0,T
Cold Spring,MN,349.0,640.1336534448725,247.0,37.55882352941177,427.56286087545067,63750,99.58857756802826,99.6,136,5108,8.0,T
Melrose,MN,414.0,624.5127800767225,125.0,54.35,432.4592466348708,61635,98.69293626373512,99.6,60,3261,5.0,T
Camarillo,CA,242.0,683.7810993218608,360.0,31.272154963680386,433.7787454451866,96299,140.83308253987195,146.9,2065,64577,101.0,T
Ligonier,PA,417.0,624.0331208247584,121.0,55.10344827586207,434.20041455530645,61797,99.02839759262378,100.5,29,1598,2.0,T
Thousand Oaks,CA,121.0,748.8766787921992,423.0,28.456526726313374,439.9659077701362,113362,151.3760585826122,146.9,4359,124042,194.0,T
St. Francis,MN,68.0,785.3635717262418,435.5,28.0,440.7768709903005,83429,106.22978070732478,99.6,273,7644,12.0,T
Albany,MN,391.0,628.9364636732729,212.0,39.982142857142854,444.7752241301217,62222,98.9320918628178,99.6,56,2239,4.0,T
Centreville,MD,147.0,734.2991843605259,420.0,28.53030303030303,444.9820221087589,89699,122.15593032166521,121.4,132,3766,6.0,T
Coldwater,OH,444.0,617.426968894806,38.0,109.35,445.6231591827337,59094,95.71010496314769,92.9,40,4374,7.0,T
Orwigsburg,PA,393.0,628.5973962945432,237.0,38.07692307692308,458.9313674178308,62406,99.27817131898888,100.5,78,2970,5.0,T
Clifton,AZ,304.0,661.8688268507474,344.0,31.923076923076923,459.07733553291433,70000,105.76113749467329,107.0,78,2490,4.0,T
Winnemucca,NV,292.0,665.953587891699,362.0,31.0817843866171,465.08923874886636,68693,103.14983093261932,103.3,269,8361,13.0,T
Morgan Hill,CA,137.5,737.8370624329742,449.0,27.688920454545453,469.5819949699946,110011,149.09931419986577,146.9,1408,38986,61.0,T
Denver City,TX,155.0,728.175400368847,444.0,27.825503355704697,470.2775776070979,70931,97.40922305816827,92.6,149,4146,6.0,T
Charlestown,RI,290.0,666.5490884592338,373.0,30.65530303030303,472.47116314120166,75139,112.72838160155328,115.8,264,8093,13.0,T
Santa Clarita,CA,178.0,717.7702421401608,442.0,27.90733464309103,476.49554037787175,104480,145.56189970828845,146.9,6108,170458,267.0,T
Perry,MI,467.0,614.9722628429653,98.0,61.4375,477.171876790743,58438,95.02542395952302,91.4,32,1966,3.0,T
Bayfield,CO,476.0,613.0056522293359,40.0,96.0909090909091,477.6777156200611,61641,100.55535340633213,105.8,22,2114,3.0,T
Sanger,TX,265.0,676.7778505924812,401.0,29.401408450704224,480.6516410041684,64724,95.63551753849177,92.6,284,8350,13.0,T
Enterprise,AL,485.0,610.6310621422733,47.0,90.64285714285714,487.2719979641761,57267,93.78330640287201,88.6,294,26649,42.0,T
Hicksville,OH,387.0,630.1886265319968,297.0,34.265306122448976,487.82988838323547,60694,96.31084637945044,92.9,98,3358,5.0,T
Pleasant Hill,MO,156.0,727.6997828004238,465.0,27.13919413919414,490.47018257994034,70082,96.30619886995407,91.2,273,7409,12.0,T
O'Neill,NE,491.0,609.8684994801475,13.0,270.1666666666667,491.1720676097125,58333,95.64848823922387,93.6,12,3242,5.0,T
Archbold,OH,370.0,633.779305005934,325.0,32.5735294117647,492.4682730897494,61154,96.49100170512419,92.9,136,4430,7.0,T
Kermit,TX,471.0,614.3082171031414,146.0,49.5377358490566,493.1095213033307,58640,95.45696828951002,92.6,106,5251,8.0,T
Stamford,CT,80.0,775.9815436241611,487.0,26.43720430107527,493.52710158612365,92497,119.2,119.5,4650,122933,192.0,F
Dyersville,IA,462.0,615.4678982140126,180.0,43.224489795918366,495.8265825870977,58239,94.62556888669592,90.3,98,4236,7.0,T
Manchester,MD,91.0,764.7183582385389,489.0,26.398496240601503,497.3952150956018,95786,125.25657187128942,121.4,133,3511,5.0,T
Snoqualmie,WA,9.0,896.756534791374,501.0,26.137755102040817,501.08083180261445,125686,140.15621311222475,112.8,392,10246,16.0,T
Dodgeville,WI,451.0,616.5975599836045,219.0,39.57017543859649,501.36014999199926,59613,96.68056422666533,95.5,114,4511,7.0,T
Estes Park,CO,386.0,630.1980969798267,320.0,32.765,501.39405660617876,65366,103.7229409502524,105.8,200,6553,10.0,T
Murrieta,CA,410.0,625.1066065730147,293.0,34.57355864811133,503.9335273624886,84409,135.03136762983598,146.9,3018,104343,163.0,T
Boulder City,NV,497.0,609.1841791232672,123.0,54.79259259259259,511.994140591472,60534,99.3689627447647,103.3,270,14794,23.0,T
Big Lake,MN,127.0,745.7578392095204,504.0,26.0559796437659,519.754749858046,77440,103.84067847289938,99.6,393,10240,16.0,T
El Paso,IL,511.0,606.4772442273182,100.0,60.702127659574465,520.6928077091136,57212,94.3349491585474,90.5,47,2853,4.0,T
Oregon,WI,62.0,789.3151377140415,524.0,25.56578947368421,527.6551904416368,81164,102.8283839013419,95.5,380,9715,15.0,T
Woodstock,IL,342.0,642.1324218306605,402.0,29.396882494004796,527.7954149099819,61616,95.95528570935329,90.5,834,24517,38.0,T
Wamego,KS,355.0,638.1892657019531,392.0,29.824324324324323,528.8563131891308,60193,94.31841498272914,86.9,148,4414,7.0,T
Midland,MI,115.0,751.3103448275862,519.0,25.665394402035624,531.5881864752075,65364,87.0,91.4,1572,40346,63.0,F
Petaluma,CA,315.0,658.1555351840399,432.0,28.103922567498728,534.6484826500492,90830,138.00689220763178,146.9,1963,55168,86.0,T
Geneseo,IL,331.0,647.317577766662,422.0,28.47747747747748,536.3254608910526,62292,96.2309724616413,90.5,222,6322,10.0,T
Elmwood,IL,372.0,633.2125894081921,388.0,30.032258064516128,537.5202321773572,60476,95.50662922940552,90.5,62,1862,3.0,T
Basalt,CO,86.0,771.484522902076,531.0,25.356060606060606,537.9191389047243,85530,110.86418127775748,105.8,132,3347,5.0,T
La Center,WA,42.0,810.4069643826997,538.0,25.245283018867923,539.636914971539,98563,121.62161029190692,112.8,106,2676,4.0,T
Gothenburg,NE,232.0,688.36887588903,488.0,26.429577464788732,540.340633304585,66587,96.73156694367206,93.6,142,3753,6.0,T
Grantsville,UT,306.0,660.6012795239802,446.0,27.76854599406528,540.8807632001715,67132,101.6225703473877,101.5,337,9358,15.0,T
Braidwood,IL,252.0,681.4560224413566,479.0,26.689922480620154,541.2439376103903,64226,94.24819487236542,90.5,258,6886,11.0,T
Byron,IL,198.0,702.5449992825146,506.0,26.02,543.3599175500526,66667,94.89356563363877,90.5,150,3903,6.0,T
Eunice,NM,276.0,671.4110571048118,475.0,26.89814814814815,549.3641779366397,63138,94.03777213955493,90.6,108,2905,5.0,T
Mount Horeb,WI,75.0,779.8237261629922,546.0,25.070422535211268,551.1270270999237,79747,102.26285418678317,95.5,284,7120,11.0,T
Simi Valley,CA,222.0,692.5096314082881,507.0,26.00491243058522,553.4735766050625,98285,141.92582390533335,146.9,4682,121755,190.0,T
Washington,NJ,318.0,655.2453132847742,454.0,27.5327868852459,554.2923416393194,74761,114.0961995213972,118.3,244,6718,11.0,T
Seminole,TX,495.0,609.5991420685887,254.0,37.31547619047619,556.3640894234637,58068,95.25603957209394,92.6,168,6269,10.0,T
Omro,WI,556.0,597.8614629584356,28.0,122.89285714285714,556.7045895266178,57317,95.8700360387416,95.5,28,3441,5.0,T
Lafayette,CO,18.0,861.5901579547472,557.0,24.673295454545453,557.2907679120478,103820,120.49812668061243,105.8,1056,26055,41.0,T
Winner,SD,537.0,601.202230526091,159.0,46.67857142857143,560.0446410778341,57878,96.27043457465717,96.2,56,2614,4.0,T
Adel,IA,146.0,734.873838561476,543.0,25.2090395480226,562.285514663147,70462,95.88312483395814,90.3,177,4462,7.0,T
Spring Hill,KS,55.0,800.6819158250557,561.0,24.53913043478261,563.6896309140341,76875,96.01190994901492,86.9,230,5644,9.0,T
Bellefonte,PA,515.0,605.405767070912,231.0,38.61875,564.4342300038154,59389,98.09784318265949,100.5,160,6179,10.0,T
Thurmont,MD,309.0,659.57535117689,476.0,26.86521739130435,567.5006607925668,77014,116.76300495854309,121.4,230,6179,10.0,T
Wilmington,IL,252.0,681.4560224413566,510.0,25.946058091286307,568.8620219350207,64226,94.24819487236542,90.5,241,6253,10.0,T
Danbury,CT,150.0,731.5215443165587,549.0,24.86746250382614,569.1230095506594,87903,120.16460852444949,119.5,3267,81242,127.0,T
Woodstown,NJ,400.0,626.9691539198371,406.0,29.24137931034483,569.9438568841672,70694,112.75514841203619,118.3,116,3392,5.0,T
Canton,SD,439.0,618.7816186212452,367.0,30.830985915492956,572.1975183448457,60057,97.05685849850809,96.2,142,4378,7.0,T
Wapakoneta,OH,481.0,611.2104359174663,311.0,33.45035460992908,572.7844271626107,58333,95.43848823922387,92.9,282,9433,15.0,T
Kiel,WI,351.5,639.1191813789451,456.0,27.46875,575.7501628310669,62523,97.8268245135472,95.5,128,3516,5.0,T
Ashland,NE,576.0,595.31263301845,30.0,118.6086956521739,576.7807208983323,56591,95.06097613461216,93.6,23,2728,4.0,T
Half Moon Bay,CA,82.0,773.7366701262973,571.0,24.416988416988417,576.857868109641,122064,157.75909907446348,146.9,518,12648,20.0,T
Granite Falls,MN,559.0,597.6377195939515,153.0,48.42372881355932,579.5601780660918,58214,97.40683710451191,99.6,59,2857,4.0,T
Independence,IA,507.0,608.1559575507325,285.0,34.84659090909091,581.6132735761796,57365,94.32613343299296,90.3,176,6133,10.0,T
Mount Holly Springs,PA,236.0,686.7444120550285,534.0,25.30263157894737,583.8253163404273,69940,101.842838139316,100.5,76,1923,3.0,T
Atoka,TN,87.0,771.4126426441761,578.0,24.323170731707318,584.5109066561547,74974,97.19052534971573,90.0,328,7978,12.0,T
Wahoo,NE,539.0,600.8420248016703,227.0,39.0,584.8504082241885,57246,95.27629166567722,93.6,108,4212,7.0,T
Whitesboro,TX,447.0,617.0090250855103,383.0,30.30597014925373,588.6408072840346,58971,95.57558739408601,92.6,134,4061,6.0,T
Lowell,IN,209.0,698.8380057238749,551.0,24.780979827089336,589.3063719322913,66543,95.21949214979085,91.1,347,8599,13.0,T
Milton,VT,123.0,747.9007095748184,580.0,24.300884955752213,592.898810928138,87687,117.24417275904186,114.8,452,10984,17.0,T
Lyons,KS,593.0,592.1863610347347,9.0,339.4,593.068292863478,54770,92.48777682805746,86.9,10,3394,5.0,T
New Prague,MN,93.0,764.0469148756473,587.0,24.195205479452056,594.3214618369423,80128,104.8731412167815,99.6,292,7065,11.0,T
Tuscola,IL,555.0,598.0000964549115,217.0,39.74561403508772,595.9144233864456,56219,94.01169052192427,90.5,114,4531,7.0,T
New Ulm,MN,385.0,630.2370163555123,461.0,27.26751592356688,600.6213449420525,62396,99.00402290049375,99.6,471,12843,20.0,T
Sidney,MT,545.0,600.0064053390844,253.0,37.34615384615385,600.8610488290949,58781,97.96728747717422,100.8,130,4855,8.0,T
Iowa Park,TX,588.0,593.1442543042656,149.0,49.1796875,606.5847014226455,56117,94.60936288731818,92.6,128,6295,10.0,T
Hanover,NH,540.5,600.5088201408308,276.0,35.46103896103896,606.890640890103,64620,107.60874417272568,112.6,308,10922,17.0,T
Grantville,GA,148.0,734.0377799789707,592.0,24.06779661016949,610.2196325914138,70074,95.4637512009362,89.8,118,2840,4.0,T
Eatonville,WA,502.0,608.5942282008207,348.0,31.804878048780488,610.8256707113741,65742,108.02271358102135,112.8,82,2608,4.0,T
McHenry,IL,32.0,822.8922561370523,610.0,23.666666666666668,610.8387675974733,82653,100.44206806368851,90.5,1161,27477,43.0,T
Scott City,KS,240.0,685.6381964703388,565.0,24.471830985915492,613.8607333915405,62917,91.76414080180527,86.9,142,3475,5.0,T
Newton,NJ,424.0,622.3761770564026,447.0,27.758503401360546,616.1046988945953,70053,112.55732880285274,118.3,294,8161,13.0,T
Soda Springs,ID,610.0,589.4485696753454,93.0,63.791666666666664,617.0486204506092,56667,96.13561371641103,97.1,48,3062,5.0,T
Northfield,MN,206.0,700.4694301280734,585.0,24.231143552311437,620.2104481544953,71243,101.70750775943779,99.6,822,19918,31.0,T
Lake Crystal,MN,321.0,653.9055670020745,532.0,25.33653846153846,621.3412910792265,65398,100.01138283594477,99.6,104,2635,4.0,T
Littlestown,PA,270.0,674.3837196242727,560.0,24.647058823529413,621.6912416947821,68365,101.37403678441258,100.5,170,4190,7.0,T
Kemmerer,WY,598.0,591.5006279886877,188.0,42.71666666666667,626.8556452645219,56144,94.91790429861342,93.6,60,2563,4.0,T
Sturgeon Bay,WI,567.0,596.2820818131368,269.0,35.95161290322581,627.5746967493193,57128,95.80700433977287,95.5,248,8916,14.0,T
Jasper,IN,594.0,592.1799707048211,207.0,40.3728813559322,629.034975180236,55678,94.02209252996388,91.1,354,14292,22.0,T
Highland,IL,281.0,669.3347918548214,564.0,24.480099502487562,630.1245908548563,62857,93.90965592243361,90.5,402,9841,15.0,T
Camden,ME,513.0,606.279144119496,370.0,30.691860465116278,632.5100789710785,64623,106.58951512154108,110.9,172,5279,8.0,T
Oakland,TN,85.0,771.6079082205148,630.0,23.141732283464567,635.7082664241515,75000,97.19962587341192,90.0,254,5878,9.0,T
Red Bud,IL,453.0,616.4850219139213,448.0,27.692307692307693,637.1130198010397,58409,94.74520535578486,90.5,130,3600,6.0,T
Allentown,NJ,623.0,586.9879396416706,137.0,51.30555555555556,637.8855696753141,65272,111.19819606488949,118.3,36,1847,3.0,T
Logan,UT,595.0,592.1533613445378,235.0,38.259404388714735,639.7265040624783,56373,95.2,101.5,1276,48819,76.0,F
Minot,ND,140.0,736.3175303197354,626.0,23.256029684601113,641.4639506628569,66784,90.7,97.8,1617,37605,59.0,F
Buellton,CA,310.5,659.5436039921469,569.0,24.426966292134832,648.2061786191181,91114,138.14704509072138,146.9,178,4348,7.0,T
Boiling Spring Lakes,NC,398.0,627.3961512366268,512.0,25.835051546391753,648.496723199123,61211,97.56355674058614,96.4,194,5012,8.0,T
Humboldt,IA,648.0,584.300389141087,42.0,95.56818181818181,649.359684612465,54609,93.46048884251888,90.3,44,4205,7.0,T
North Brookfield,MA,627.0,586.7362675430561,170.0,44.94642857142857,649.6375912768596,71261,121.45320468837508,132.5,112,5034,8.0,T
Canyon,TX,639.0,585.8409194739893,119.0,55.43181818181818,649.9861536986768,55273,94.34813814239561,92.6,264,14634,23.0,T
Harrah,OK,423.0,622.5415877285969,498.0,26.223300970873787,653.4011019274454,58594,94.12061965817554,88.2,206,5402,8.0,T
Osage,IA,636.0,586.1599802404296,154.0,48.06944444444444,654.3790950206158,54819,93.52224963825486,90.3,72,3461,5.0,T
Silt,CO,605.0,590.0217098910902,250.0,37.391891891891895,654.6182093403758,58663,99.42515506900311,105.8,74,2767,4.0,T
Muscatine,IA,645.0,585.2044675192913,122.0,54.83453237410072,656.4365925205572,54711,93.49040042691823,90.3,417,22866,36.0,T
Owatonna,MN,376.0,632.7789296007696,541.0,25.235235235235237,658.8300236024463,62738,99.1467905538233,99.6,999,25210,39.0,T
Jefferson,GA,260.0,677.9774127310061,606.0,23.723342939481267,659.4209581140108,66035,97.4,89.8,347,8232,13.0,F
Sahuarita,AZ,552.0,598.4992101716836,361.0,31.134540750323414,659.5642500924379,60019,100.28250493895078,107.0,773,24067,38.0,T
Williamsburg,VA,48.0,804.6574236253769,660.0,22.550877192982455,661.7431525901874,85468,106.21663019639425,98.1,570,12854,20.0,T
Marysville,OH,58.0,796.0815280714467,662.0,22.466747279322853,664.5359282988393,80361,100.94569107096248,92.9,827,18580,29.0,T
Taneytown,MD,434.0,620.700165559344,505.0,26.04739336492891,665.8686056573023,71250,114.78972288623939,121.4,211,5496,9.0,T
Eureka,IL,437.0,619.2112115363941,503.0,26.0625,666.3167414976153,58740,94.8626234564675,90.5,208,5421,8.0,T
Dover,NH,493.5,609.7132157762476,455.0,27.47312859884837,671.2430632788692,65799,107.91794945141373,112.6,1042,28627,45.0,T
Chardon,OH,249.0,681.7942371234905,632.0,23.10169491525424,679.2827099227537,65457,96.00697165784939,92.9,236,5452,9.0,T
Belle Plaine,MN,103.0,755.9237700754247,672.0,22.28923076923077,679.847777079546,78919,104.40073870428179,99.6,325,7244,11.0,T
Genoa,OH,339.0,643.3351648748674,591.0,24.095744680851062,681.3237116085129,62401,96.99609691339876,92.9,94,2265,4.0,T
Johnstown,OH,526.0,602.538905904243,443.0,27.891156462585034,687.6954267697292,57290,95.08099715822279,92.9,147,4100,6.0,T
