Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber
Elba,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,292,4254,-1
Elberta,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,178,1527,-1
Eutaw,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,221,2833,-1
Excel,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,24,609,-1
Fairfield,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2914,11344,-1
Falkville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,96,1229,-1
Flomaton,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,66,1547,-1
Florala,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,148,1878,-1
Fort Deposit,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,132,1154,-1
Fultondale,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,468,7095,-1
Gantt,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,6,239,-1
Gardendale,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1092,14048,-1
Georgiana,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,92,1548,-1
Geraldine,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,44,857,-1
Glencoe,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,314,5393,-1
Gordo,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,40,1520,-1
Grant,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,54,732,-1
Graysville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,6,2394,-1
Grove Hill,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,68,1320,-1
Guin,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,70,2146,-1
Gulf Shores,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,986,10999,-1
Guntersville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,654,8775,-1
Gurley,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,8,885,-1
Hackleburg,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,78,1432,-1
Hammondville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,10,556,-1
Harpersville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,20,1869,-1
Hartford,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,248,2447,-1
Hartselle,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1136,14258,-1
Heflin,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,158,3592,-1
Helena,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,220,15845,-1
Henagar,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,136,2654,-1
Highland Lake,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,4,522,-1
Hillsboro,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,8,593,-1
Hokes Bluff,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,94,4531,-1
Hollywood,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,22,923,-1
Homewood,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,3308,24101,-1
Hoover,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,4496,74687,-1
Hueytown,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1396,15942,-1
Ider,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,48,733,-1
Irondale,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1356,9865,-1
Jacksons Gap,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,64,773,-1
Jemison,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,242,3077,-1
Killen,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,108,1154,-1
Kimberly,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,38,3027,-1
Kinston,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,38,630,-1
Lafayette,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,294,2875,-1
Leeds,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1154,11679,-1
Leesburg,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,86,827,-1
Leighton,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,14,832,-1
Level Plains,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,88,1537,-1
Lexington,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,18,852,-1
Lincoln,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,688,6279,-1
Linden,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,114,2225,-1
Lineville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,98,2333,-1
Lipscomb,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,206,2036,-1
Littleville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,76,1056,-1
Livingston,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,252,2869,-1
Lockhart,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,4,542,-1
Louisville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,14,573,-1
Loxley,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,362,2063,-1
Lynn,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,8,718,-1
Madison,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2014,41426,-1
Margaret,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,92,1313,-1
McIntosh,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,54,231,-1
Mentone,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,4,492,-1
Midfield,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,764,5215,-1
Midland City,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,158,1927,-1
Millbrook,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,956,17750,-1
Millry,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,8,588,-1
Montevallo,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,228,6657,-1
Moody,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,32,14726,-1
Morris,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,96,1927,-1
Mosses,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,30,1006,-1
Mount Vernon,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,178,819,-1
Muscle Shoals,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1328,13277,-1
Napier Field,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,30,398,-1
New Brockton,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,80,1258,-1
New Site,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,0,843,-1
Newville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,10,547,-1
Northport,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2282,24019,-1
Notasulga,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,124,825,-1
Oakman,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,16,921,-1
Odenville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,182,2968,-1
Ohatchee,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,22,1285,-1
Opelika,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,3296,28815,-1
Orange Beach,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,240,6575,-1
Owens Crossroads,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,54,1814,-1
Parrish,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,66,1252,-1
Pelham,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,978,22777,-1
Phenix City,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,3570,31662,-1
Phil Campbell,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,44,1061,-1
Pine Hill,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,86,878,-1
Pisgah,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,16,693,-1
Pleasant Grove,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,350,10407,-1
Powell,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,26,1002,-1
Prattville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2772,33738,-1
Ragland,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,120,2232,-1
Rainbow City,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,528,9569,-1
Rainsville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,220,5141,-1
Ranburne,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,32,488,-1
Red Bay,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,128,3338,-1
Red Level,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2,549,-1
Reform,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,64,1751,-1
River Falls,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2,611,-1
Riverside,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,20,2146,-1
Rockford,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,6,386,-1
Rogersville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,76,1219,-1
Samson,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,98,2039,-1
Saraland,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1200,13238,-1
Sardis City,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,130,2227,-1
Section,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,12,757,-1
Sheffield,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,546,9053,-1
Silas,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,4,472,-1
Silverhill,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,62,719,-1
Skyline,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,28,883,-1
Slocomb,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,64,2065,-1
Snead,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,82,879,-1
Somerville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,18,662,-1
Southside,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,300,8731,-1
Spanish Fort,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,760,7873,-1
Steele,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,14,1273,-1
St. Florian,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,44,538,-1
Sulligent,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,96,1949,-1
Summerdale,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,158,787,-1
Sylvania,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,60,1425,-1
Tarrant,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1365,6529,-1
Taylor,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,20,2059,-1
Thorsby,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,32,2148,-1
Town Creek,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,70,1213,-1
Trafford,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,0,500,-1
Trinity,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,118,2079,-1
Tuscumbia,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,339,8490,-1
Valley Head,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,14,667,-1
Vance,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,102,1307,-1
Vernon,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,46,1863,-1
Vestavia Hills,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1098,31420,-1
Warrior,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,62,3171,-1
Weaver,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,158,2972,-1
Webb,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,10,1417,-1
Wedowee,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,58,823,-1
West Blocton,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,6,1422,-1
Winfield,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,154,4573,-1
York,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,186,2466,-1
Bristol Bay Borough,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,106,856,-1
Cordova,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,22,2231,-1
Craig,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,50,1184,-1
Dillingham,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,248,2496,-1
Haines,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,56,2412,-1
Homer,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,611,6158,-1
Houston,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,142,2412,-1
North Pole,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,215,2318,-1
North Slope Borough,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,357,6728,-1
Palmer,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,486,8964,-1
Petersburg,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,173,2797,-1
Seward,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,210,3224,-1
Skagway,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,58,930,-1
St. Paul,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,14,431,-1
Unalaska,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,192,3539,-1
Valdez,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,280,3786,-1
Wrangell,AK,-1,-1,-1,-1,-1,-1,-1.0,125.7,86,2130,-1
Apache Junction,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,2305,33225,-1
Chandler,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,16464,241826,-1
Clarkdale,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,186,4121,-1
El Mirage,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,1864,24047,-1
Fredonia,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,27,1110,-1
Gilbert,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,8608,215215,-1
Glendale,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,28984,245387,-1
Huachuca City,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,54,1896,-1
Jerome,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,58,366,-1
Mammoth,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,84,2618,-1
Marana,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,2249,34039,-1
Miami,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,194,1710,-1
Oro Valley,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,1612,42644,-1
Paradise Valley,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,580,14715,-1
Peoria,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,9838,158184,-1
Scottsdale,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,13844,230496,-1
South Tucson,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,2007,5855,-1
Springerville,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,144,1943,-1
Surprise,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,4193,92294,-1
Tempe,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,18544,173004,-1
Thatcher,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,258,4913,-1
Tolleson,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,1546,7103,-1
Tombstone,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,164,1514,-1
Wellton,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,32,1891,-1
Youngtown,AZ,-1,-1,-1,-1,-1,-1,-1.0,107.0,206,4759,-1
Alma,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,564,5318,-1
Atkins,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,102,2992,-1
Barling,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,142,4587,-1
Bella Vista,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,346,26745,-1
Benton,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,3011,30692,-1
Bentonville,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,1540,39161,-1
Bradford,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,46,973,-1
Bryant,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,1503,16740,-1
Bull Shoals,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,64,2138,-1
Cabot,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,2241,24900,-1
Carlisle,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,82,2470,-1
Cave City,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,63,2028,-1
Cave Springs,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,40,1892,-1
Centerton,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,236,9788,-1
Charleston,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,24,2999,-1
Clinton,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,118,2609,-1
Danville,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,24,2529,-1
Dardanelle,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,505,4548,-1
Decatur,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,76,2143,-1
De Witt,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,319,3175,-1
Earle,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,303,2732,-1
Eureka Springs,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,270,2402,-1
Fairfield Bay,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,66,2460,-1
Farmington,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,277,4795,-1
Flippin,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,70,1357,-1
Gassville,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,62,2210,-1
Gentry,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,51,3200,-1
Glenwood,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,92,1986,-1
Gosnell,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,224,3541,-1
Gravette,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,68,2756,-1
Greenland,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,40,1278,-1
Gurdon,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,148,2251,-1
Hampton,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,46,1392,-1
Hardy,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,132,799,-1
Hazen,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,54,1441,-1
Highland,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,18,1099,-1
Horseshoe Bend,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,42,2226,-1
Jacksonville,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,3051,31833,-1
Judsonia,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,82,2207,-1
Kensett,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,57,1874,-1
Lakeview,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,18,849,-1
Lepanto,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,62,2001,-1
Little Flock,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,20,3328,-1
Lowell,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,290,7660,-1
Luxora,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,26,1210,-1
Marion,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,939,12769,-1
Marked Tree,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,139,2601,-1
Marmaduke,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,72,1177,-1
Maumelle,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,652,17331,-1
McCrory,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,36,1509,-1
Mineral Springs,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,66,1287,-1
Monette,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,32,1255,-1
Mountain View,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,136,3121,-1
Murfreesboro,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,34,1625,-1
North Little Rock,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,11321,60129,-1
Ola,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,18,1272,-1
Pea Ridge,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,86,5098,-1
Plainview,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,32,799,-1
Plummerville,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,25,867,-1
Pottsville,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,102,2941,-1
Quitman,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,28,742,-1
Redfield,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,40,1191,-1
Rose Bud,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,22,460,-1
Salem,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,58,1591,-1
Sherwood,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,2196,29370,-1
Stamps,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,108,1835,-1
Van Buren,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,1457,23072,-1
Vilonia,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,146,3753,-1
Ward,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,296,4311,-1
West Fork,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,94,2365,-1
West Memphis,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,5929,27196,-1
White Hall,AR,-1,-1,-1,-1,-1,-1,-1.0,92.1,190,5216,-1
Adelanto,CA,-1,-1,-1,-1,-1,-1,-1.0,146.9,1949,29697,-1
Agoura Hills,CA,-1,-1,-1,-1,-1,-1,-1.0,146.9,516,22318,-1
Alameda,CA,-1,-1,-1,-1,-1,-1,-1.0,146.9,4284,71016,-1
Albany,CA,-1,-1,-1,-1,-1,-1,-1.0,146.9,1242,16096,-1
Alhambra,CA,-1,-1,-1,-1,-1,-1,-1.0,146.9,4538,84987,-1
Aliso Viejo,CA,-1,-1,-1,-1,-1,-1,-1.0,146.9,955,41989,-1
American Canyon,CA,-1,-1,-1,-1,-1,-1,-1.0,146.9,1107,17507,-1
