,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
203,"Batesville, IN Urban Cluster (2010)",56430
204,"Batesville, MS Urban Cluster (2010)",42476
205,"Bath, NY Urban Cluster (2010)",34035
206,"Baton Rouge, LA Urbanized Area (2010)",59942
207,"Battle Creek, MI Urbanized Area (2010)",44308
208,"Battlement Mesa, CO Urban Cluster (2010)",62330
209,"Battle Mountain, NV Urban Cluster (2010)",72786
210,"Baxley, GA Urban Cluster (2010)",27064
211,"Baxter Springs, KS Urban Cluster (2010)",39375
212,"Bayard, NM Urban Cluster (2010)",34953
213,"Bay City, MI Urbanized Area (2010)",43426
214,"Bay City, TX Urban Cluster (2010)",49974
215,"Bayfield, CO Urban Cluster (2010)",61641
216,"Bay Minette, AL Urban Cluster (2010)",40000
217,"Bealeton, VA Urban Cluster (2010)",82652
218,"Beardstown, IL Urban Cluster (2010)",41809
219,"Beatrice, NE Urban Cluster (2010)",45902
220,"Beaufort&Port Royal, SC Urban Cluster (2010)",54736
221,"Beaumont, TX Urbanized Area (2010)",52321
222,"Beaver, UT Urban Cluster (2010)",58165
223,"Beaver Dam, KY Urban Cluster (2010)",42184
224,"Beaver Dam, WI Urban Cluster (2010)",52744
225,"Becker, MN Urban Cluster (2010)",92653
226,"Beckley, WV Urbanized Area (2010)",42620
227,"Bedford, IN Urban Cluster (2010)",42618
228,"Bedford, NY Urban Cluster (2010)",187159
229,"Bedford, PA Urban Cluster (2010)",50857
230,"Bedford, VA Urban Cluster (2010)",35417
231,"Beebe, AR Urban Cluster (2010)",46976
232,"Beecher, IL Urban Cluster (2010)",81146
233,"Beeville, TX Urban Cluster (2010)",38662
234,"Belding, MI Urban Cluster (2010)",41812
235,"Belfair, WA Urban Cluster (2010)",60033
236,"Belfast, ME Urban Cluster (2010)",64931
237,"Belgrade, MT Urban Cluster (2010)",67096
238,"Bellefontaine, OH Urban Cluster (2010)",48784
239,"Bellefonte, PA Urban Cluster (2010)",59389
240,"Belle Fourche, SD Urban Cluster (2010)",45777
241,"Belle Glade, FL Urban Cluster (2010)",24862
242,"Belle Plaine, MN Urban Cluster (2010)",78919
243,"Bellevue, IA Urban Cluster (2010)",64904
244,"Bellevue, OH Urban Cluster (2010)",55247
245,"Bellingham, WA Urbanized Area (2010)",58432
246,"Bellows Falls, VT&NH Urban Cluster (2010)",43750
247,"Bells, TN Urban Cluster (2010)",41284
248,"Bellville, TX Urban Cluster (2010)",47102
249,"Beloit, KS Urban Cluster (2010)",47931
250,"Beloit, WI&IL Urbanized Area (2010)",50054
251,"Belterra, TX Urban Cluster (2010)",155917
252,"Belton, SC Urban Cluster (2010)",31073
253,"Belvidere, NJ&PA Urban Cluster (2010)",53526
254,"Belzoni, MS Urban Cluster (2010)",29464
255,"Bemidji, MN Urban Cluster (2010)",33103
256,"Bend, OR Urbanized Area (2010)",66155
257,"Bennettsville, SC Urban Cluster (2010)",30404
258,"Bennington, VT Urban Cluster (2010)",48857
259,"Benson, AZ Urban Cluster (2010)",31037
260,"Benson, MN Urban Cluster (2010)",40970
261,"Benson, NC Urban Cluster (2010)",34032
262,"Benton, IL Urban Cluster (2010)",38972
263,"Benton, KY Urban Cluster (2010)",48711
264,"Benton, LA Urban Cluster (2010)",68351
265,"Benton City, WA Urban Cluster (2010)",56441
266,"Benton Harbor&St. Joseph&Fair Plain, MI Urbanized Area (2010)",49578
267,"Berea, KY Urban Cluster (2010)",46541
268,"Berlin, NH Urban Cluster (2010)",41386
269,"Berlin, WI Urban Cluster (2010)",53924
270,"Berne, IN Urban Cluster (2010)",45542
271,"Berrien Springs, MI Urban Cluster (2010)",40614
272,"Berryville, AR Urban Cluster (2010)",47682
273,"Berryville, VA Urban Cluster (2010)",74353
274,"Bethany, MO Urban Cluster (2010)",31987
275,"Bethel, AK Urban Cluster (2010)",84006
276,"Bethel, OH Urban Cluster (2010)",40588
277,"Beulah, ND Urban Cluster (2010)",100433
278,"Bicknell, IN Urban Cluster (2010)",40780
279,"Big Bear City, CA Urban Cluster (2010)",50854
280,"Big Lake, TX Urban Cluster (2010)",74539
281,"Big Pine Key, FL Urban Cluster (2010)",75220
282,"Big Rapids, MI Urban Cluster (2010)",33598
283,"Big Spring, TX Urban Cluster (2010)",52691
284,"Big Stone Gap, VA Urban Cluster (2010)",38023
285,"Billings, MT Urbanized Area (2010)",58923
286,"Binghamton, NY&PA Urbanized Area (2010)",49451
287,"Birch Bay, WA Urban Cluster (2010)",66330
288,"Birmingham, AL Urbanized Area (2010)",58259
289,"Bisbee, AZ Urban Cluster (2010)",34867
290,"Biscoe, NC Urban Cluster (2010)",45504
291,"Bishop, CA Urban Cluster (2010)",60979
292,"Bishop, TX Urban Cluster (2010)",43824
293,"Bishopville, SC Urban Cluster (2010)",25484
294,"Bismarck, ND Urbanized Area (2010)",63516
295,"Blackfoot, ID Urban Cluster (2010)",50404
296,"Black River Falls, WI Urban Cluster (2010)",37206
297,"Blacksburg, VA Urbanized Area (2010)",50637
298,"Blackshear, GA Urban Cluster (2010)",33611
299,"Blackstone, VA Urban Cluster (2010)",45735
300,"Blackwell, OK Urban Cluster (2010)",41628
301,"Blair, NE Urban Cluster (2010)",50917
302,"Blairsville, PA Urban Cluster (2010)",46026
303,"Blakely, GA Urban Cluster (2010)",22646
304,"Blanchard, OK Urban Cluster (2010)",72729
305,"Blanchester, OH Urban Cluster (2010)",40150
306,"Blanding, UT Urban Cluster (2010)",49261
307,"Blissfield, MI Urban Cluster (2010)",50087
308,"Bloomer, WI Urban Cluster (2010)",42281
309,"Bloomfield, IN Urban Cluster (2010)",40556
310,"Bloomfield, NM Urban Cluster (2010)",51304
311,"Bloomington, IN Urbanized Area (2010)",43643
312,"Bloomington&Normal, IL Urbanized Area (2010)",62981
313,"Bloomsburg&Berwick, PA Urbanized Area (2010)",44220
314,"Blountstown, FL Urban Cluster (2010)",31700
315,"Blue Earth, MN Urban Cluster (2010)",46027
316,"Bluefield, WV&VA Urban Cluster (2010)",40466
317,"Bluffton, IN Urban Cluster (2010)",47900
318,"Bluffton, OH Urban Cluster (2010)",75076
319,"Blythe, CA&AZ Urban Cluster (2010)",44478
320,"Blytheville, AR Urban Cluster (2010)",39444
321,"Boardman, OR Urban Cluster (2010)",55529
322,"Boerne, TX Urban Cluster (2010)",69649
323,"Bogalusa, LA Urban Cluster (2010)",32514
324,"Boiling Spring Lakes, NC Urban Cluster (2010)",61211
325,"Boiling Springs, NC Urban Cluster (2010)",71023
326,"Boise City, ID Urbanized Area (2010)",64279
327,"Bolivar, MO Urban Cluster (2010)",36811
328,"Bolivar, OH Urban Cluster (2010)",57807
329,"Bolivar, TN Urban Cluster (2010)",39306
330,"Bonadelle Ranchos-Madera Ranchos, CA Urban Cluster (2010)",83676
331,"Bonham, TX Urban Cluster (2010)",44440
332,"Bonifay, FL Urban Cluster (2010)",33850
333,"Bonita Springs, FL Urbanized Area (2010)",71572
334,"Bonneauville, PA Urban Cluster (2010)",82383
335,"Bonners Ferry, ID Urban Cluster (2010)",32071
336,"Boone, IA Urban Cluster (2010)",58250
337,"Boone, NC Urban Cluster (2010)",29129
338,"Booneville, AR Urban Cluster (2010)",32885
339,"Booneville, MS Urban Cluster (2010)",27500
340,"Boonville, IN Urban Cluster (2010)",43093
341,"Boonville, MO Urban Cluster (2010)",44578
342,"Borger, TX Urban Cluster (2010)",47250
343,"Boscobel, WI Urban Cluster (2010)",42784
344,"Boston, MA&NH&RI Urbanized Area (2010)",89606
345,"Boulder, CO Urbanized Area (2010)",72419
346,"Boulder City, NV Urban Cluster (2010)",60534
347,"Bowie, TX Urban Cluster (2010)",40227
348,"Bowling Green, KY Urbanized Area (2010)",46875
349,"Bowling Green, MO Urban Cluster (2010)",38990
350,"Bowling Green, OH Urban Cluster (2010)",36990
351,"Box Elder, SD Urban Cluster (2010)",53459
352,"Boyne City, MI Urban Cluster (2010)",51513
353,"Bozeman, MT Urban Cluster (2010)",56002
354,"Brackettville, TX Urban Cluster (2010)",19629
355,"Bradford, PA&NY Urban Cluster (2010)",41852
356,"Brady, TX Urban Cluster (2010)",44318
357,"Braidwood&Coal City&Wilmington, IL Urban Cluster (2010)",64226
358,"Brainerd, MN Urban Cluster (2010)",42364
359,"Brandon, SD Urban Cluster (2010)",84058
360,"Branson, MO Urban Cluster (2010)",46141
361,"Brattleboro, VT&NH Urban Cluster (2010)",34163
362,"Brawley, CA Urban Cluster (2010)",42174
363,"Brazoria, TX Urban Cluster (2010)",50588
364,"Breaux Bridge, LA Urban Cluster (2010)",49025
365,"Breckenridge, CO Urban Cluster (2010)",90625
366,"Breckenridge, TX Urban Cluster (2010)",45618
367,"Breese, IL Urban Cluster (2010)",68232
368,"Bremen, GA Urban Cluster (2010)",48463
369,"Bremen, IN Urban Cluster (2010)",37258
370,"Bremerton, WA Urbanized Area (2010)",73266
371,"Brenham, TX Urban Cluster (2010)",45421
372,"Brent, AL Urban Cluster (2010)",35379
373,"Brevard, NC Urban Cluster (2010)",42599
374,"Brewton, AL Urban Cluster (2010)",38034
375,"Bridgeport, TX Urban Cluster (2010)",49649
376,"Bridgeport&Stamford, CT&NY Urbanized Area (2010)",92497
377,"Bridgeton, NJ Urban Cluster (2010)",42614
378,"Bridgeville, DE Urban Cluster (2010)",47500
379,"Brillion, WI Urban Cluster (2010)",68322
380,"Brinkley, AR Urban Cluster (2010)",38750
381,"Bristol&Bristol, TN&VA Urbanized Area (2010)",42749
382,"Bristow, OK Urban Cluster (2010)",31854
383,"Broadway, VA Urban Cluster (2010)",48636
384,"Brockport, NY Urban Cluster (2010)",48195
385,"Brockway, PA Urban Cluster (2010)",49583
386,"Brodhead, WI Urban Cluster (2010)",44902
387,"Broken Bow, NE Urban Cluster (2010)",43344
388,"Broken Bow, OK Urban Cluster (2010)",30549
389,"Brookfield, MO Urban Cluster (2010)",34397
390,"Brookhaven, MS Urban Cluster (2010)",31091
391,"Brookings, OR Urban Cluster (2010)",45750
392,"Brookings, SD Urban Cluster (2010)",54522
393,"Brooklyn, MI Urban Cluster (2010)",62697
394,"Brookshire, TX Urban Cluster (2010)",41014
395,"Brookville, PA Urban Cluster (2010)",51824
396,"Brownfield, TX Urban Cluster (2010)",39982
397,"Browning, MT Urban Cluster (2010)",23110
398,"Browns Mills&Fort Dix, NJ Urban Cluster (2010)",68172
399,"Brownstown, IN Urban Cluster (2010)",48036
400,"Brownsville, TN Urban Cluster (2010)",34513
401,"Brownsville, TX Urbanized Area (2010)",38299
402,"Brownwood, TX Urban Cluster (2010)",42866
403,"Brunswick, GA Urbanized Area (2010)",41950
404,"Brunswick, ME Urban Cluster (2010)",55679
405,"Brunswick, MD&VA Urban Cluster (2010)",87385
406,"Brush, CO Urban Cluster (2010)",40357
407,"Bryan, OH Urban Cluster (2010)",43639
408,"Buckeye, AZ Urban Cluster (2010)",56885
409,"Buckhannon, WV Urban Cluster (2010)",38250
410,"Buckhead (Bryan County), GA Urban Cluster (2010)",119444
411,"Buckner, MO Urban Cluster (2010)",53161
412,"Bucyrus, OH Urban Cluster (2010)",40846
413,"Buena Vista, CO Urban Cluster (2010)",43561
414,"Buena Vista, VA Urban Cluster (2010)",32328
415,"Buffalo, MN Urban Cluster (2010)",74812
416,"Buffalo, MO Urban Cluster (2010)",23539
417,"Buffalo, NY Urbanized Area (2010)",55536
418,"Buffalo, WY Urban Cluster (2010)",61000
419,"Buhl, ID Urban Cluster (2010)",43260
420,"Buies Creek, NC Urban Cluster (2010)",35377
421,"Bullhead City, AZ&NV Urban Cluster (2010)",42903
422,"Bunkie, LA Urban Cluster (2010)",24746
423,"Buras, LA Urban Cluster (2010)",34709
424,"Burgaw, NC Urban Cluster (2010)",38912
425,"Burgettstown, PA Urban Cluster (2010)",47703
426,"Burkburnett, TX Urban Cluster (2010)",49194
427,"Burley, ID Urban Cluster (2010)",49067
428,"Burlington, CO Urban Cluster (2010)",49316
429,"Burlington, IA&IL Urban Cluster (2010)",47415
430,"Burlington, KS Urban Cluster (2010)",48309
431,"Burlington, NC Urbanized Area (2010)",48995
432,"Burlington, VT Urbanized Area (2010)",64861
433,"Burlington, WI Urban Cluster (2010)",75616
434,"Burnet, TX Urban Cluster (2010)",66212
435,"Burney, CA Urban Cluster (2010)",47429
436,"Burns, OR Urban Cluster (2010)",37099
437,"Burnt Store Marina, FL Urban Cluster (2010)",84479
438,"Bushnell, FL Urban Cluster (2010)",35156
439,"Bushnell, IL Urban Cluster (2010)",45929
440,"Butler, IN Urban Cluster (2010)",53375
441,"Butler, MO Urban Cluster (2010)",30581
442,"Butler, PA Urban Cluster (2010)",54027
443,"Butner, NC Urban Cluster (2010)",61094
444,"Butte-Silver Bow, MT Urban Cluster (2010)",42880
445,"Byron, IL Urban Cluster (2010)",66667
446,"Byron, MN Urban Cluster (2010)",92903
447,"Cache, OK Urban Cluster (2010)",63226
448,"Cactus, TX Urban Cluster (2010)",47805
449,"Cadillac, MI Urban Cluster (2010)",38160
450,"Cadiz, KY Urban Cluster (2010)",32455
451,"Cadiz, OH Urban Cluster (2010)",52422
452,"Cairo, GA Urban Cluster (2010)",32633
453,"Cairo, IL Urban Cluster (2010)",26512
454,"Calais, ME Urban Cluster (2010)",30771
455,"Caldwell, OH Urban Cluster (2010)",40716
456,"Caldwell, TX Urban Cluster (2010)",48513
457,"Caledonia, MN Urban Cluster (2010)",46717
458,"Calhoun, GA Urban Cluster (2010)",40837
459,"California, MO Urban Cluster (2010)",50313
460,"California City, CA Urban Cluster (2010)",49200
461,"Calipatria, CA Urban Cluster (2010)",36883
462,"Calistoga, CA Urban Cluster (2010)",67119
463,"Camano, WA Urban Cluster (2010)",66966
464,"Camano North, WA Urban Cluster (2010)",76705
465,"Camarillo, CA Urbanized Area (2010)",96299
466,"Cambria, CA Urban Cluster (2010)",71029
467,"Cambridge, MD Urban Cluster (2010)",45684
468,"Cambridge, MN Urban Cluster (2010)",66632
469,"Cambridge, OH Urban Cluster (2010)",33675
470,"Cambridge, WI Urban Cluster (2010)",92930
471,"Cambridge City, IN Urban Cluster (2010)",39861
472,"Cambridge Springs, PA Urban Cluster (2010)",46974
473,"Camden, AR Urban Cluster (2010)",28256
474,"Camden, ME Urban Cluster (2010)",64623
475,"Camden, SC Urban Cluster (2010)",40625
476,"Camden, TN Urban Cluster (2010)",28854
477,"Camdenton, MO Urban Cluster (2010)",33619
478,"Cameron, MO Urban Cluster (2010)",50665
479,"Cameron, TX Urban Cluster (2010)",36327
480,"Camilla, GA Urban Cluster (2010)",37602
481,"Campbellsville, KY Urban Cluster (2010)",31250
482,"Camp Verde, AZ Urban Cluster (2010)",33736
483,"Canadian, TX Urban Cluster (2010)",69750
484,"Canby, OR Urban Cluster (2010)",72361
485,"Cannon Falls, MN Urban Cluster (2010)",66075
486,"Cañon City, CO Urban Cluster (2010)",48571
487,"Canton, IL Urban Cluster (2010)",44332
488,"Canton, MS Urban Cluster (2010)",31909
489,"Canton, NY Urban Cluster (2010)",62625
490,"Canton, OH Urbanized Area (2010)",51807
491,"Canton, SD Urban Cluster (2010)",60057
492,"Canton, TX Urban Cluster (2010)",49276
493,"Canyon, TX Urban Cluster (2010)",55273
494,"Canyon Lake, TX Urban Cluster (2010)",64073
495,"Cape Coral, FL Urbanized Area (2010)",55540
496,"Cape Girardeau, MO&IL Urbanized Area (2010)",50210
497,"Captain Cook, HI Urban Cluster (2010)",54890
498,"Carbondale, CO Urban Cluster (2010)",79115
499,"Carbondale, IL Urbanized Area (2010)",39211
500,"Carey, OH Urban Cluster (2010)",47328
501,"Caribou, ME Urban Cluster (2010)",36141
502,"Carlinville, IL Urban Cluster (2010)",43097
503,"Carlisle, IA Urban Cluster (2010)",63000
504,"Carlsbad, NM Urban Cluster (2010)",69621
505,"Carlton, OR Urban Cluster (2010)",76645
506,"Carlyle, IL Urban Cluster (2010)",54413
507,"Carmel Valley Village, CA Urban Cluster (2010)",82647
508,"Carmi, IL Urban Cluster (2010)",44240
509,"Caro, MI Urban Cluster (2010)",33000
510,"Carrizo Springs, TX Urban Cluster (2010)",27813
511,"Carroll, IA Urban Cluster (2010)",46972
512,"Carrollton, GA Urban Cluster (2010)",48548
513,"Carrollton, KY Urban Cluster (2010)",41373
514,"Carrollton, MO Urban Cluster (2010)",29877
515,"Carrollton, OH Urban Cluster (2010)",54118
516,"Carson City, NV Urbanized Area (2010)",55621
517,"Cartersville, GA Urbanized Area (2010)",58349
518,"Carthage, IL Urban Cluster (2010)",52439
519,"Carthage, MS Urban Cluster (2010)",42083
520,"Carthage, MO Urban Cluster (2010)",41571
521,"Carthage, TN Urban Cluster (2010)",39440
522,"Carthage, TX Urban Cluster (2010)",48643
523,"Caruthersville, MO Urban Cluster (2010)",30489
524,"Casa Grande, AZ Urbanized Area (2010)",52348
525,"Casey, IL Urban Cluster (2010)",43839
526,"Cashmere, WA Urban Cluster (2010)",58866
527,"Casper, WY Urbanized Area (2010)",59434
528,"Cassville, MO Urban Cluster (2010)",35041
529,"Castle Dale, UT Urban Cluster (2010)",53056
