DataSourceName,DataSourceCode,StationID,ActualStationID,Latitude_DD,Longitude_DD,SampleDate,SampleTime,ActivityDepth,ActivityDepthUnit,Characteristic,ResultValue,ResultUnit,ValueQualifier,ResultComment,WaterbodyID,WaterbodyName
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-05-25 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,3.80000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-11-20 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-06-22 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-04-27 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,1.80000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1997-12-17 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1997-08-27 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga,27.34018301,-81.26998299,2008-07-25 00:00:00.000,00:00:00,0.5,m,True Color,30.00000000,PCU,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga,27.34018301,-81.26998299,2008-04-14 00:00:00.000,00:00:00,0.5,m,Specific conductance,236.00000000,umho,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga,27.34018301,-81.26998299,2008-01-23 00:00:00.000,00:00:00,0.5,m,Specific conductance,214.00000000,umho,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1997-12-17 00:00:00.000,00:00:00,0.5,m,Nitrogen,1140.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-06-22 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-08-24 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,49.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-08-24 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,66.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-09-24 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,56.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-09-24 00:00:00.000,00:00:00,0.5,m,Nitrogen,1230.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-11-20 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-11-20 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,44.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-12-21 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,30.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1998-12-21 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,40.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-01-26 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,3.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-01-26 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,22.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-02-26 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,30.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-02-26 00:00:00.000,00:00:00,0.5,m,Nitrogen,820.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-03-25 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,4.00000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-03-25 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,8.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-04-30 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,21.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-04-30 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,39.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-05-25 00:00:00.000,00:00:00,0.5,m,Nitrogen,860.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-06-21 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,3.30000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-07-27 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,35.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-07-27 00:00:00.000,00:00:00,0.5,m,Nitrogen,1200.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-08-19 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.50000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-08-19 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,49.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-08-19 00:00:00.000,00:00:00,0.5,m,Nitrogen,1160.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-11-23 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,56.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,1999-12-21 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,47.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-03-24 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,55.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-04-26 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,64.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-05-24 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.50000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-06-28 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,56.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-07-24 00:00:00.000,00:00:00,0.5,m,Secchi disk depth,2.50000000,ft,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-07-24 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,61.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-10-25 00:00:00.000,00:00:00,0.5,m,Chlorophyll a, uncorrected for pheophytin,17.00000000,ug/l,,,1001006,Istokpoga, Lake
LAKEWATCH Volunteer Water Quality Monitoring,LAKEWATCH_V,Istokpoga-Highlands,Highlands-Istokpoga-1,27.34018301,-81.26998299,2000-11-26 00:00:00.000,00:00:00,0.5,m,Phosphorus as P,35.00000000,ug/l,,,1001006,Istokpoga, Lake
